model = attention
num_bags = 1

Epoch: 1, Loss: 0.5203885436058044, Train error: 0.19607843137254902
Epoch: 2, Loss: 0.47638487815856934, Train error: 0.17647058823529413
Epoch: 3, Loss: 0.46918168663978577, Train error: 0.17647058823529413
Epoch: 4, Loss: 0.45851439237594604, Train error: 0.17647058823529413
Epoch: 5, Loss: 0.4301072061061859, Train error: 0.17647058823529413
Epoch: 6, Loss: 0.41174739599227905, Train error: 0.1715686274509804
Epoch: 7, Loss: 0.34377846121788025, Train error: 0.18137254901960784
Epoch: 8, Loss: 0.3113584518432617, Train error: 0.15196078431372548
Epoch: 9, Loss: 0.2818010449409485, Train error: 0.10784313725490197
Epoch: 10, Loss: 0.2077113538980484, Train error: 0.08823529411764706
Epoch: 11, Loss: 0.2232585996389389, Train error: 0.08333333333333333
Epoch: 12, Loss: 0.16380290687084198, Train error: 0.049019607843137254
Epoch: 13, Loss: 0.1393742561340332, Train error: 0.05392156862745098
Epoch: 14, Loss: 0.13975459337234497, Train error: 0.05392156862745098
Epoch: 15, Loss: 0.17022103071212769, Train error: 0.049019607843137254
Epoch: 16, Loss: 0.16800305247306824, Train error: 0.06372549019607843
Epoch: 17, Loss: 0.07573039829730988, Train error: 0.029411764705882353
Epoch: 18, Loss: 0.05232364684343338, Train error: 0.014705882352941176
Epoch: 19, Loss: 0.0299210287630558, Train error: 0.00980392156862745
Epoch: 20, Loss: 0.020957225933670998, Train error: 0.00980392156862745
Epoch: 21, Loss: 0.015260370448231697, Train error: 0.004901960784313725
Epoch: 22, Loss: 0.011954398825764656, Train error: 0.004901960784313725
Epoch: 23, Loss: 0.01905587501823902, Train error: 0.00980392156862745
Epoch: 24, Loss: 0.4581173062324524, Train error: 0.21568627450980393
Epoch: 25, Loss: 0.239532008767128, Train error: 0.11764705882352941
Epoch: 26, Loss: 0.07801180332899094, Train error: 0.03431372549019608
Epoch: 27, Loss: 0.06556501984596252, Train error: 0.024509803921568627
Epoch: 28, Loss: 0.09252238273620605, Train error: 0.03431372549019608
Epoch: 29, Loss: 0.01218740176409483, Train error: 0.004901960784313725
Epoch: 30, Loss: 0.00763396080583334, Train error: 0.0
Epoch: 31, Loss: 0.004151776898652315, Train error: 0.0
Epoch: 32, Loss: 0.0036840683314949274, Train error: 0.0
Epoch: 33, Loss: 0.0021330746822059155, Train error: 0.0
Epoch: 34, Loss: 0.0015182960778474808, Train error: 0.0
Epoch: 35, Loss: 0.001030485611408949, Train error: 0.0
Epoch: 36, Loss: 0.0007655994850210845, Train error: 0.0
Epoch: 37, Loss: 0.0005665532662533224, Train error: 0.0
Epoch: 38, Loss: 0.00039127515628933907, Train error: 0.0
Epoch: 39, Loss: 0.00037142267683520913, Train error: 0.0
Epoch: 40, Loss: 0.00018412868666928262, Train error: 0.0
Epoch: 41, Loss: 0.00013065528764855117, Train error: 0.0
Epoch: 42, Loss: 0.00011511386401252821, Train error: 0.0
Epoch: 43, Loss: 0.00010588381701381877, Train error: 0.0
Epoch: 44, Loss: 9.527579823043197e-05, Train error: 0.0
Epoch: 45, Loss: 9.489295189268887e-05, Train error: 0.0
Epoch: 46, Loss: 8.682422048877925e-05, Train error: 0.0
Epoch: 47, Loss: 8.327448449563235e-05, Train error: 0.0
Epoch: 48, Loss: 8.16310930531472e-05, Train error: 0.0
Epoch: 49, Loss: 7.442890637321398e-05, Train error: 0.0
Epoch: 50, Loss: 8.018973312573507e-05, Train error: 0.0
Epoch: 51, Loss: 0.04253910854458809, Train error: 0.00980392156862745
Epoch: 52, Loss: 0.7607420086860657, Train error: 0.20588235294117646
Epoch: 53, Loss: 0.5007918477058411, Train error: 0.2107843137254902
Epoch: 54, Loss: 0.3925590217113495, Train error: 0.16176470588235295
Epoch: 55, Loss: 0.2558339238166809, Train error: 0.10784313725490197
Epoch: 56, Loss: 0.1609567403793335, Train error: 0.058823529411764705
Epoch: 57, Loss: 0.02603224851191044, Train error: 0.00980392156862745
Epoch: 58, Loss: 0.09290923923254013, Train error: 0.03431372549019608
Epoch: 59, Loss: 0.08204230666160583, Train error: 0.029411764705882353
